CustomerID,PhoneCoTenure,EquipmentRental,TotalServicesUsed,EquipmentPerMonth,DataPerMonth,VoicePerMonth,OwnsPC,HHIncome,Top50_Bottom50,clusterID
7415-IIKLBO-8VO,72,0,0,91.93055555555556,181.16666666666663,24.23611111111111,0,35000,0,2
4069-WOXDZW-2Y0,56,0,0,109.28571428571428,164.35714285714286,16.214285714285715,0,89000,0,2
3421-JRQVBI-0GE,70,0,0,86.95714285714287,125.78571428571428,35.34285714285714,0,324000,0,1
8199-MOWDXQ-I84,73,0,0,85.53424657534245,136.78082191780823,20.904109589041095,0,77000,0,2
5996-NSVZTW-7VD,73,0,6,50.95890410958904,0.0,186.0958904109589,0,9000,0,3
4157-SFKIZN-I6C,73,0,0,63.534246575342465,77.36986301369862,65.10958904109589,0,64000,0,2
1068-MWHNDT-1WC,42,0,0,70.85714285714286,115.88095238095238,14.404761904761903,0,32000,0,2
7356-SBPGQV-W7S,73,0,1,53.273972602739725,67.28767123287672,80.4794520547945,0,11000,0,3
3385-SXGCON-MA7,51,0,1,85.47058823529412,100.37254901960785,11.705882352941178,0,100000,0,2
8639-PHNKZL-7YL,72,0,0,68.4861111111111,89.7361111111111,39.0,0,279000,0,1
0556-MOOWPK-HFE,72,0,0,71.29166666666667,94.20833333333331,29.41666666666667,0,49000,0,2
0438-VUBTYC-L81,73,1,1,0.0,78.06849315068494,116.6986301369863,0,109000,0,1
6308-REILUL-K6N,47,0,0,84.44680851063829,100.14893617021276,9.893617021276595,0,642000,0,1
9987-TYXPMR-SYS,73,0,1,63.47945205479452,73.63013698630138,56.01369863013698,1,179000,0,1
2760-QYCCNH-1QP,73,0,0,56.80821917808219,95.67123287671231,38.08219178082192,0,133000,0,1
6907-UNTAVY-RH8,68,0,0,76.72058823529412,92.11764705882355,20.852941176470583,0,261000,0,1
6725-PUIEGJ-LR7,73,0,0,71.84931506849315,89.52054794520548,28.10958904109589,0,25000,0,2
1473-YDZVPG-DSP,73,0,2,51.08219178082192,49.68493150684932,87.76712328767124,0,131000,0,1
7230-DVRBWH-SZ0,26,0,0,68.53846153846153,105.80769230769229,11.346153846153848,0,156000,0,1
4001-AOWFME-CMG,69,0,1,70.17391304347827,91.69565217391305,20.08695652173913,0,152000,0,1
8662-KFTSLI-UZC,73,0,4,58.93150684931507,68.87671232876714,52.45205479452055,0,49000,0,2
2490-JDXHSX-QFT,63,0,0,69.52380952380952,96.984126984127,13.634920634920634,0,19000,0,2
4246-VOCDAN-ZIV,69,0,0,75.27536231884058,86.1159420289855,18.30434782608696,0,145000,0,1
8175-UIPWJF-KD4,73,0,1,61.9041095890411,96.8082191780822,17.82191780821918,0,91000,0,2
2413-MRKILA-6I1,73,0,4,41.61643835616439,50.43835616438356,83.49315068493149,0,28000,0,2
6816-RFGSTX-G9K,37,0,0,62.918918918918926,101.54054054054056,10.459459459459461,0,37000,0,2
1834-TLGRSP-VFJ,59,0,0,75.76271186440678,84.45762711864407,13.932203389830509,0,26000,0,2
6708-QEPPOG-Y7C,60,0,0,69.0,88.9,15.366666666666667,0,61000,0,2
3757-RERTCC-6IF,49,0,1,62.6530612244898,97.6122448979592,10.63265306122449,0,101000,0,1
3168-XCWOBR-AAY,73,0,1,51.205479452054796,74.72602739726027,43.93150684931507,0,86000,0,1
2516-PWHPEI-BKY,30,0,0,69.93333333333334,87.13333333333334,12.6,0,61000,0,2
5570-UBZQVB-V31,73,0,0,65.45205479452055,64.16438356164383,39.863013698630134,0,209000,0,1
0243-FFVTII-MLA,71,0,1,50.57746478873239,65.23943661971829,51.8169014084507,1,81000,0,1
1125-WSNSLC-7RQ,24,0,0,75.875,77.5,13.25,0,314000,0,1
3248-BOHSKN-12L,31,0,0,60.516129032258064,96.51612903225808,9.193548387096774,0,53000,0,2
1080-FIOSCN-MRJ,73,0,3,48.21917808219178,64.23287671232876,53.56164383561644,0,22000,0,2
1456-WRXMLK-KUA,58,0,0,64.58620689655173,90.3103448275862,10.982758620689657,0,106000,0,1
5969-ELOXBK-SUZ,71,0,3,55.30985915492958,74.39436619718309,35.88732394366197,0,82000,0,1
2346-XOLOPT-KCY,66,0,0,56.27272727272727,75.92424242424242,33.333333333333336,0,95000,0,1
5901-KJGWAL-MWZ,64,0,0,65.5,71.40625,28.328125,0,97000,0,1
6748-SBHSWH-5YE,48,0,0,76.35416666666667,77.66666666666667,10.604166666666666,0,140000,0,1
4461-GDUAPW-T5J,59,0,0,58.1864406779661,51.42372881355932,53.966101694915245,0,142000,0,1
9184-ABVZGX-Z4V,69,0,3,57.1304347826087,82.40579710144928,22.507246376811594,0,91000,0,1
3518-TYPNAR-I9S,42,0,0,61.452380952380956,88.0238095238095,11.785714285714285,0,226000,0,1
5161-SAEGFS-T7Q,41,0,0,62.97560975609756,86.53658536585365,10.902439024390244,0,66000,0,2
7768-UEEPLX-WRF,67,0,0,63.44776119402986,77.5373134328358,19.373134328358212,0,18000,0,2
4658-VETXPI-KJJ,72,0,0,60.111111111111114,77.16666666666667,22.48611111111111,0,88000,0,1
5634-ISKLHN-QQY,33,0,0,67.48484848484848,82.81818181818181,9.030303030303033,0,108000,0,1
8318-FEMEWF-RX3,71,0,0,52.492957746478865,68.53521126760563,38.2112676056338,0,127000,0,1
1475-AZQBFN-ROY,73,0,7,62.10958904109589,0.0,96.63013698630137,0,126000,0,1
5727-FTCVVH-2JK,73,0,1,44.84931506849315,54.89041095890411,58.13698630136986,0,100000,0,1
1608-DQBMUD-AB8,68,0,0,70.48529411764707,67.26470588235293,19.897058823529417,0,128000,0,1
2566-HGSGRK-ROU,57,0,0,60.631578947368425,75.71929824561404,21.28070175438597,0,68000,0,2
2685-JGCTCK-CAA,73,1,2,0.0,100.23287671232876,57.19178082191781,1,20000,0,3
4781-EJROCZ-AWL,46,0,0,56.6304347826087,84.82608695652173,13.282608695652176,0,115000,0,1
7038-QTIFHN-Z4B,71,0,1,53.64788732394365,60.028169014084504,41.0,0,185000,0,1
0484-IPSBBH-FGI,73,0,7,35.835616438356155,0.0,118.3013698630137,0,79000,0,1
4574-CFECWQ-FGC,57,0,0,58.368421052631575,76.47368421052632,19.07017543859649,0,88000,0,1
8424-YHPPTH-JYP,29,0,0,65.82758620689657,74.58620689655173,12.275862068965518,0,59000,0,2
4412-YGSBMZ-E8P,21,0,1,59.047619047619044,87.76190476190477,5.285714285714286,0,52000,0,2
1422-SOIMEM-EIK,39,0,0,68.41025641025641,70.66666666666667,12.282051282051285,0,125000,0,1
2423-SKBFWB-PDO,69,0,1,53.33333333333334,70.30434782608695,27.46376811594203,0,50000,0,2
8671-AKJOZO-KLR,40,0,0,52.95,80.55,17.125,0,17000,0,2
7535-SELYBB-VVX,65,0,0,54.47692307692307,76.8923076923077,18.892307692307693,0,169000,0,1
6553-IAQEZM-EDF,68,0,0,56.25,63.38235294117647,30.279411764705888,0,35000,0,2
0697-MGZOBI-YLB,72,0,0,47.236111111111114,64.55555555555556,37.72222222222222,0,75000,0,1
4726-RQKGNB-WAK,72,0,3,57.20833333333334,53.805555555555564,37.430555555555564,0,51000,0,2
9392-WSAONF-3QM,66,0,0,54.16666666666666,83.34848484848484,10.909090909090908,0,25000,0,2
7670-PQQZMH-YSU,29,0,0,61.48275862068966,78.55172413793103,7.517241379310344,0,109000,0,1
3390-EDOEGF-92Z,37,0,1,69.43243243243244,69.02702702702703,8.756756756756756,0,61000,0,2
5449-PZVMRO-T9S,73,1,6,0.0,0.0,146.19178082191783,1,73000,0,0
3762-YCXKVW-E8F,24,0,3,63.66666666666666,78.20833333333333,4.25,0,46000,0,2
1930-FVKBNA-ZNU,45,0,0,54.95555555555556,60.04444444444446,31.066666666666666,0,42000,0,2
8506-AHNZEB-MOF,33,0,0,67.72727272727273,59.72727272727273,18.454545454545453,0,78000,0,1
9479-CQKHZE-55V,73,1,3,0.0,64.94520547945207,80.90410958904108,0,90000,0,1
9891-CXKYJM-6RQ,73,0,2,45.04109589041096,52.42465753424658,48.15068493150685,0,70000,0,1
3416-IWMXRH-2DM,72,0,0,59.90277777777778,66.97222222222223,18.430555555555557,0,150000,0,1
5646-BOZIOF-3B6,27,0,0,50.5925925925926,88.4074074074074,5.962962962962963,0,25000,0,2
9780-WTOMLB-AYF,73,0,3,51.273972602739725,51.9041095890411,41.52054794520548,0,66000,0,2
8752-ILSFDO-GD9,69,0,0,43.85507246376812,54.88405797101449,45.88405797101449,0,27000,0,2
7357-DKWNYI-60W,45,0,0,54.22222222222222,80.64444444444446,9.355555555555558,0,76000,0,1
2845-KNIRYP-1AZ,71,0,0,57.21126760563379,64.74647887323944,21.774647887323948,0,186000,0,1
4738-EVGEFI-FIM,72,0,0,59.34722222222222,57.51388888888889,26.5,0,122000,0,1
2894-QTXNLJ-DKV,72,0,3,60.70833333333334,57.59722222222222,24.75,0,288000,0,1
1859-EQNEYI-RVE,51,0,0,64.92156862745098,59.0,18.92156862745098,0,169000,0,1
