CustomerID,Churn
3000006,0
3000018,0
3000034,0
3000070,0
3000074,1
3000086,1
3000098,0
3000110,0
3000246,1
3000254,0
3000258,0
3000274,0
3000334,0
3000338,0
3000342,1
3000366,0
3000370,0
3000438,1
3000450,1
3000470,0
3000482,0
3000486,0
3000498,0
3000542,0
3000546,0
3000566,0
3000594,0
3000606,0
3000610,0
3000630,1
3000662,1
3000666,0
3000686,1
3000698,1
3000702,1
3000746,0
3000754,0
3000758,1
3000798,0
3000846,1
3000862,1
3000866,1
3000890,0
3000934,1
3000938,0
3000970,0
3000994,0
3001010,0
3001034,1
3001042,1
3001066,1
3001118,0
3001126,0
3001138,0
3001142,0
3001158,0
3001162,0
3001222,0
3001278,0
3001290,0
3001334,1
3001362,0
3001390,0
3001430,0
3001466,1
3001478,0
3001494,0
3001514,1
3001526,0
3001538,0
3001558,0
3001582,0
3001614,1
3001622,0
3001626,0
3001670,0
3001694,0
3001698,0
3001734,0
3001738,1
3001742,0
3001778,0
3001806,0
3001822,0
3001918,0
3001926,1
3001958,0
3001994,0
3002022,0
3002030,0
3002046,0
3002098,0
3002122,1
3002150,0
3002162,0
3002174,0
3002238,0
3002254,0
3002298,1
3002314,0
3002318,1
3002342,0
3002354,0
3002386,1
3002394,0
3002406,0
3002434,0
3002442,0
3002478,0
3002482,1
3002486,0
3002530,0
3002550,1
3002566,1
3002578,1
3002590,0
3002594,0
3002622,0
3002626,0
3002690,1
3002726,0
3002746,0
3002750,0
3002790,0
3002798,1
3002810,0
3002822,0
3002838,0
3002842,1
3002898,0
3002902,0
3002914,0
3002954,0
3002982,0
3003010,1
3003026,1
3003034,0
3003098,0
3003110,0
3003130,1
3003138,0
3003142,0
3003198,0
3003214,1
3003230,1
3003250,1
3003266,0
3003270,1
3003282,0
3003290,0
3003294,1
3003310,0
3003338,0
3003374,0
3003382,0
3003394,1
3003398,0
3003410,1
3003430,0
3003438,0
3003454,0
3003542,1
3003550,0
3003574,1
3003578,1
3003582,0
3003590,1
3003610,1
3003614,1
3003618,0
3003622,0
3003642,0
3003686,1
3003690,0
3003698,0
3003726,0
3003742,0
3003746,0
3003758,0
3003770,0
3003786,0
3003818,0
3003826,0
3003830,0
3003834,0
3003874,0
3003898,0
3003930,0
3003942,0
3003954,0
3003982,1
3003998,0
3004022,0
3004026,1
3004034,1
3004042,0
3004054,0
3004066,1
3004070,0
3004094,0
3004098,0
3004102,1
3004110,0
3004138,1
3004154,0
3004186,0
3004194,0
3004202,1
3004214,1
3004262,0
3004282,1
3004286,1
3004310,0
3004318,0
3004338,0
3004366,0
3004378,0
3004386,0
3004398,1
3004402,0
3004422,0
3004430,0
3004438,0
3004454,0
3004482,0
3004534,1
3004570,0
3004578,1
3004618,0
3004622,0
3004650,0
3004666,1
3004678,0
3004682,0
3004710,0
3004718,1
3004722,0
3004738,0
3004746,0
3004762,0
3004770,0
3004782,1
3004806,0
3004818,0
3004822,0
3004830,0
3004834,1
3004882,0
3004894,0
3004898,1
3004910,0
3004918,1
3004922,0
3004934,0
3004946,0
3004950,0
3004966,0
3005006,0
3005018,1
3005022,1
3005026,0
3005030,1
3005058,0
3005078,1
3005086,1
3005118,0
3005138,1
3005178,1
3005202,0
3005226,0
3005238,0
3005246,1
3005278,0
3005282,0
3005314,0
3005334,0
3005342,0
3005350,0
3005386,0
3005442,0
3005474,0
3005486,0
3005490,1
3005494,0
3005502,0
3005510,0
3005526,1
3005570,1
3005582,0
3005594,0
3005602,0
3005630,0
3005646,0
3005662,1
3005678,0
3005682,0
3005710,0
3005750,1
3005766,1
3005834,1
3005850,1
3005906,0
3005974,0
3005978,1
3005982,0
3005986,0
3006054,1
3006062,0
3006082,0
3006086,1
3006094,0
3006134,0
3006142,1
3006150,0
3006154,0
3006162,1
3006198,1
3006210,1
3006242,1
3006246,0
3006254,1
3006282,1
3006302,1
3006334,0
3006338,0
3006362,0
3006370,0
3006394,1
3006414,1
3006458,0
3006462,0
3006490,0
3006502,0
3006510,1
3006526,0
3006534,0
3006546,1
3006558,0
3006574,0
3006578,0
3006586,0
3006598,1
3006602,0
3006606,0
3006666,0
3006670,0
3006698,0
3006710,1
3006714,0
3006718,0
3006726,1
3006750,1
3006782,0
3006786,1
3006794,1
3006810,1
3006826,0
3006842,0
3006898,0
3006926,1
3006946,0
3006986,0
3006990,0
3007014,0
3007030,1
3007042,1
3007058,1
3007122,0
3007126,0
3007162,0
3007186,1
3007190,0
3007198,0
3007238,0
3007262,1
3007278,0
3007294,0
3007330,1
3007358,0
3007366,0
3007458,0
3007490,0
3007506,0
3007514,1
3007522,0
3007542,0
3007546,1
3007554,1
3007558,0
3007562,0
3007598,1
3007610,0
3007658,1
3007698,1
3007734,1
3007746,0
3007754,1
3007774,0
3007794,0
3007810,1
3007822,1
3007850,0
3007862,0
3007866,1
3007886,1
3007906,0
3007922,0
3007946,0
3007986,1
3007990,0
3008042,0
3008054,1
3008082,0
3008098,1
3008118,1
3008162,0
3008246,0
3008250,0
3008262,0
3008278,1
3008306,0
3008322,0
3008366,1
3008374,1
3008402,0
3008406,0
3008454,0
3008462,0
3008466,0
3008474,0
3008502,1
3008510,1
3008550,0
3008566,0
3008578,0
3008606,0
3008650,0
3008666,0
3008674,0
3008698,0
3008794,0
3008818,0
3008838,0
3008850,0
3008886,0
3008890,0
3008902,0
3008914,0
3008918,0
3008926,0
3008930,0
3008950,0
3008994,0
3009002,1
3009022,0
3009054,1
3009074,1
3009086,0
3009094,0
3009138,1
3009150,0
3009174,0
3009186,1
3009226,0
3009234,0
3009262,0
3009294,0
3009298,0
3009334,0
3009338,0
3009342,0
3009366,0
3009378,0
3009382,0
3009386,0
3009402,0
3009414,0
3009446,0
3009458,0
3009478,0
3009506,0
3009542,0
3009582,1
3009586,0
3009626,0
3009642,0
3009646,0
3009686,0
